/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.groupitemmetadataprovider.js: line 3, col 18, 'window' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.rowselectionmodel.js: line 60, col 25, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.rowselectionmodel.js: line 95, col 32, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.rowselectionmodel.js: line 185, col 38, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.rowselectionmodel.js: line 188, col 4, 'jQuery' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.rowselectionmodel.js: line 150, col 53, 'i' is defined but never used.

9 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.autotooltips.js: line 4, col 18, 'window' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.autotooltips.js: line 84, col 4, 'jQuery' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.autotooltips.js: line 19, col 14, '_self' is defined but never used.

3 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellselectionmodel.js: line 80, col 49, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellselectionmodel.js: line 80, col 70, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellselectionmodel.js: line 4, col 18, 'window' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellselectionmodel.js: line 16, col 25, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellselectionmodel.js: line 81, col 32, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellselectionmodel.js: line 101, col 26, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellselectionmodel.js: line 108, col 22, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellselectionmodel.js: line 127, col 28, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellselectionmodel.js: line 152, col 38, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellselectionmodel.js: line 155, col 4, 'jQuery' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellselectionmodel.js: line 68, col 51, 'args' is defined but never used.

11 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.rowmovemanager.js: line 56, col 31, Use '===' to compare with '0'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.rowmovemanager.js: line 4, col 18, 'window' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.rowmovemanager.js: line 15, col 24, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.rowmovemanager.js: line 132, col 31, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.rowmovemanager.js: line 133, col 25, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.rowmovemanager.js: line 139, col 4, 'jQuery' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.rowmovemanager.js: line 35, col 34, 'dd' is defined but never used.

7 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.checkboxselectcolumn.js: line 94, col 26, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.checkboxselectcolumn.js: line 141, col 13, Bad line breaking before '?'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.checkboxselectcolumn.js: line 4, col 18, 'window' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.checkboxselectcolumn.js: line 14, col 24, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.checkboxselectcolumn.js: line 154, col 4, 'jQuery' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.checkboxselectcolumn.js: line 13, col 14, '_self' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.checkboxselectcolumn.js: line 38, col 47, 'args' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.checkboxselectcolumn.js: line 38, col 41, 'e' is defined but never used.

8 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.headerbuttons.js: line 154, col 19, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.headerbuttons.js: line 4, col 18, 'window' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.headerbuttons.js: line 69, col 24, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.headerbuttons.js: line 175, col 24, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.headerbuttons.js: line 178, col 4, 'jQuery' is not defined.

5 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellrangedecorator.js: line 4, col 18, 'window' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellrangedecorator.js: line 67, col 4, 'jQuery' is not defined.

2 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellrangeselector.js: line 4, col 18, 'window' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellrangeselector.js: line 17, col 24, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellrangeselector.js: line 27, col 24, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellrangeselector.js: line 66, col 34, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellrangeselector.js: line 84, col 27, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellrangeselector.js: line 97, col 20, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellrangeselector.js: line 110, col 40, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellrangeselector.js: line 111, col 34, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellrangeselector.js: line 114, col 4, 'jQuery' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellrangeselector.js: line 41, col 34, 'dd' is defined but never used.

10 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.headermenu.js: line 179, col 22, Use '===' to compare with 'false'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.headermenu.js: line 254, col 19, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.headermenu.js: line 254, col 38, Use '!==' to compare with ''.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.headermenu.js: line 4, col 18, 'window' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.headermenu.js: line 84, col 24, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.headermenu.js: line 104, col 9, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.headermenu.js: line 110, col 9, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.headermenu.js: line 272, col 31, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.headermenu.js: line 273, col 24, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.headermenu.js: line 276, col 4, 'jQuery' is not defined.

10 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellcopymanager.js: line 39, col 29, Use '!==' to compare with '0'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellcopymanager.js: line 4, col 18, 'window' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellcopymanager.js: line 82, col 26, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellcopymanager.js: line 83, col 30, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellcopymanager.js: line 84, col 27, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellcopymanager.js: line 87, col 4, 'jQuery' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/plugins/slick.cellcopymanager.js: line 25, col 35, 'args' is defined but never used.

7 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 15, col 39, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 19, col 39, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 28, col 33, Use '===' to compare with '0'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 16, col 7, 'SHORT_VALUE' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 17, col 7, 'TOOLTIP' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 18, col 7, 'TRUNCATED_VALUE' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 19, col 7, '$container' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 25, col 25, 'SHORT_VALUE' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 28, col 40, 'SHORT_VALUE' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 35, col 37, '$container' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 36, col 16, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 37, col 29, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 42, col 5, '$container' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 53, col 3, 'module' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 60, col 3, 'test' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 64, col 5, 'strictEqual' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 67, col 3, 'test' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 71, col 5, 'strictEqual' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 74, col 3, 'module' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 81, col 3, 'test' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 85, col 5, 'strictEqual' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 88, col 3, 'test' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 92, col 5, 'strictEqual' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 95, col 3, 'test' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 99, col 5, 'strictEqual' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 106, col 3, 'module' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 113, col 3, 'test' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 117, col 5, 'strictEqual' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 120, col 3, 'test' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 124, col 5, 'strictEqual' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 127, col 3, 'test' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 131, col 5, 'strictEqual' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 131, col 38, 'TRUNCATED_VALUE' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/plugins/autotooltips.js: line 134, col 4, 'jQuery' is not defined.

34 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/grid/grid.js: line 15, col 4, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/grid/grid.js: line 22, col 4, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/grid/grid.js: line 35, col 14, 'i' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/grid/grid.js: line 59, col 84, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/grid/grid.js: line 21, col 5, 'same' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/grid/grid.js: line 45, col 14, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/grid/grid.js: line 48, col 3, 'module' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/grid/grid.js: line 50, col 3, 'test' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/grid/grid.js: line 54, col 5, 'equal' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/grid/grid.js: line 57, col 3, 'test' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/grid/grid.js: line 58, col 5, 'expect' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/grid/grid.js: line 59, col 50, 'ok' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/grid/grid.js: line 62, col 5, 'equal' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/grid/grid.js: line 65, col 3, 'test' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/grid/grid.js: line 66, col 5, 'equal' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/grid/grid.js: line 69, col 4, 'jQuery' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/grid/grid.js: line 7, col 11, 'drag' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/grid/grid.js: line 17, col 12, 'moved' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/grid/grid.js: line 34, col 21, 'col' is defined but never used.

19 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 76, col 40, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 85, col 40, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 94, col 40, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 126, col 78, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 127, col 86, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 128, col 90, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 136, col 78, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 137, col 86, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 138, col 90, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 145, col 78, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 146, col 86, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 147, col 90, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 149, col 43, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 198, col 86, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 199, col 90, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 200, col 47, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 211, col 47, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 219, col 52, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 228, col 47, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 231, col 47, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 234, col 52, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 311, col 78, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 312, col 86, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 313, col 90, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 386, col 44, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 387, col 21, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 390, col 78, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 391, col 86, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 392, col 90, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 403, col 50, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 404, col 27, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 407, col 78, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 408, col 86, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 409, col 90, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 443, col 40, ['val'] is better written in dot notation.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 462, col 40, ['val'] is better written in dot notation.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 491, col 40, ['val'] is better written in dot notation.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 493, col 26, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 572, col 40, ['val'] is better written in dot notation.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 4, col 1, 'module' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 7, col 5, 'same' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 8, col 5, 'same' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 9, col 5, 'same' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 10, col 5, 'same' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 11, col 5, 'same' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 12, col 5, 'same' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 24, col 9, 'same' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 25, col 9, 'same' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 26, col 9, 'same' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 32, col 13, 'same' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/tests/dataview/dataview.js: line 32, col 13, Too many errors. (3% scanned).

51 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 138, col 25, Use '!==' to compare with 'undefined'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 143, col 24, Use '!==' to compare with 'undefined'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 184, col 27, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 253, col 23, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 310, col 17, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 390, col 17, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 479, col 18, 'i' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 479, col 25, 'l' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 496, col 20, 'i' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 602, col 28, The Function constructor is a form of eval.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 640, col 28, The Function constructor is a form of eval.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 676, col 28, The Function constructor is a form of eval.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 766, col 15, Bad line breaking before '||'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 771, col 15, Bad line breaking before '||'.
