3     #167 Expected '  v_texcoord = vec2(u, uv.y + 0.5);
2     #175 Expected '  size = (percentLife < 0.0 || percentLife > 1.0) ? 0.0 : size;
2     #85 Stopping. (29% scanned).
1     #43 Stopping. (54% scanned).
176     #61 Missing space between ':' and 'paginate_button paginate_button_disabled'.
2     #22 Stopping. (26% scanned).
1     #340 Stopping. (20% scanned).
2     #30 Stopping. (23% scanned).
3     #113 Expected '  vec3 position = positionStartTime.xyz;
1     #26 Stopping. (44% scanned).
2     #81 Stopping. (35% scanned).
16     #12 Unexpected sync method: 'existsSync'.
5     #39 Stopping. (30% scanned).
2     #151 Expected '  float localTime = mod((time - timeOffset - startTime), timeRange);
16     #75 Use the || operator.
2     #46 Stopping. (16% scanned).
2      #7 Unescaped '['.
7     #91 Stopping. (11% scanned).
541     #14 Expected ';' and instead saw 'self'.
15     #14 Stopping. (1% scanned).
2     #107 Expected '  vec2 uv = uvLifeTimeFrameStart.xy;
9      #7 Missing space between 'content-disposition: form-data; name="field1"
4     #61 Expected 'uniform vec3 worldVelocity;
11     #17 Unexpected TODO comment.
1     #38 Stopping. (82% scanned).
8     #97 Expected 'varying float v_percentLife;
2      #6 Unexpected 'Dog'.
1     #28 Stopping. (14% scanned).
1     #65 Use the array literal notation [].
20     #169 Expected '  v_colorMult = colorMult;
7     #31 Unused 'body'.
9     #32 Stopping. (9% scanned).
1     #481 Unused 'PART'.
1     #36 Unused 'chars'.
5     #142 Stopping. (40% scanned).
111     #397 Missing space between '<ul class='' and '+'.
5     #143 Expected '  } else {
390     #10 Missing 'use strict' statement.
1     #333 Unused 'key'.
3     #10 Expected 'Joe Blow
1     #243 Unused 'handleTimeout'.
4     #95 Expected 'varying vec2 v_texcoord;
2      #4 Use a named parameter.
6318      #3 Expected 'use strict' at column 5, not column 2.
5     #11 Missing space between 'Joe Blow
13     #77 Expected 'attribute vec4 uvLifeTimeFrameStart; 
21     #27 Missing '()'.
10     #65 Expected 'uniform float timeRange;
1      #4 Unused 'feature'.
1     #55 Unused 'loader'.
6     #157 Expected '  float frame = mod(floor(localTime / frameDuration + frameStart),
16     #133 Missing space between ':' and 'fg-button ui-button ui-state-default ui-corner-left'.
1     #339 Unexpected '('.
1     #153 A constructor name 'j' should start with an uppercase letter.
1     #483 Expected '  gl_Position = (projectionMatrix * viewMatrix * vec4(localPosition, 1.0));
4     #20 Unexpected ')'.
2     #153 Expected '  float percentLife = localTime / lifeTime;
1     #29 Unexpected 'parser'.
1     #541 Stopping. (81% scanned).
3     #20 Unused 'b'.
1     #51 Stopping. (34% scanned).
2     #173 Expected '  float size = mix(startSize, endSize, percentLife);
7     #117 Unexpected 'typeof'. Use '===' to compare directly with undefined.
160     #215 Combine this with the previous 'var' statement.
3     #16 Stopping. (3% scanned).
1     #171 Missing space between ':' and 'dataTables_paginate fg-buttonset ui-buttonset fg-buttonset-multi ui-buttonset-multi paging_'.
1     #38 Unused 'a'.
2      #1 Nested comment.
1     #285 Stopping. (90% scanned).
4      #1 ['rfc1867'] is better written in dot notation.
1     #1265 Stopping. (93% scanned).
1     #119 Stopping. (59% scanned).
2     #21 Unexpected 'exports'.
5     #48 Unexpected ','.
1     #200 Missing space between 'Unexpected call to dummy_name, expected call to ' and '+'.
7     #41 Redefinition of 'c' from line 10.
1     #45 Stopping. (49% scanned).
7      #1 Unexpected ';'.
3     #70 Cannot read property 'kind' of undefined
3     #49 Stopping. (6% scanned).
2040      #1 Missing space between ';' and 'var'.
7     #117 Expected '  vec3 velocity = (objectMatrix * vec4(velocityStartSize.xyz, 0)).xyz
3     #38 Missing space between 'received fields:
1     #453 Unused 'nsPrefixCache'.
6     #77 Unused 'er'.
5      #9 Variable $p was not declared correctly.
5     #358 Missing space between '+' and '' id='sb'.
1     #339 Expected 'uniform mat4 viewInverse;
63     #287 Move the invocation into the parens that contain the function.
5     #633 Stopping. (24% scanned).
8     #61 Expected 'Your graphics card does not seem to support <a href="http://khronos.org/webgl/wiki/Getting_a_WebGL_Implementation">WebGL</a>.<br />' at column 17, not column 5.
3     #15 Missing space between 'Bad 1st argument for gently.expect(), object, function, or number expected, got: ' and '+'.
1     #97 Unused 'checkDone'.
18     #74 Empty block.
1     #267 Stopping. (89% scanned).
6     #20 Expected '... contents of file1.txt ...
4     #19 Unused 'req'.
1     #21 Unused 'element'.
2     #243 Stopping. (94% scanned).
1     #325 The '&&' subexpression should be wrapped in parens.
12     #41 Stopping. (19% scanned).
2     #88 Stopping. (12% scanned).
9     #19 Unsafe character.
1197      #1 Expected exactly one space between 'function' and '('.
2     #28 Unexpected '+'.
5     #57 Unused 'e'.
6     #47 Unused 'res'.
1     #455 Stopping. (57% scanned).
1     #40 Unexpected 'call'.
3     #22 Weird condition.
1     #273 Unused 'hudImage'.
1     #71 Unused 'reducer'.
4     #264 Expected 'uniform sampler2D rampSampler;
4     #105 Expected 'void main() {
1     #78 Missing space between ': foo
12     #67 Unexpected space between '
1     #1483 Stopping. (98% scanned).
1     #96 Unused 'cur'.
1     #77 Expected ': foo
2     #262 Expected '// We need to implement 1D!
1     #1264 Unexpected '}'.
1     #48 Unused 'currentLevel'.
77     #75 Expected '
2     #1136 Unused 'o'.
2     #20 Stopping. (87% scanned).
5      #5 Missing space between '--AaB03x
2     #96 Stopping. (18% scanned).
5     #177 Expected '  float s = sin(spinStart + spinSpeed * localTime);
2     #13 Expected ')' to match '(' from line 4 and instead saw ','.
4     #245 Expected '}
2     #10 Expected '<input type="file" name="upload" multiple="multiple"><br>' at column 17, not column 7.
616     #192 Unexpected dangling '_' in '_octane'.
